	N-Amend-BR5-10-FT_S119_F_filt.fastq	N-Amend-C-T4_S125_F_filt.fastq	N-Amend-D-T4_S126_F_filt.fastq	N-Amend-T0_S124_F_filt.fastq	N-BR10-B_S107_F_filt.fastq	N-BR10-T_S108_F_filt.fastq	N-BR5-B_S99_F_filt.fastq	N-BR5-T_S100_F_filt.fastq	N-BR6-B_S101_F_filt.fastq	N-BR6-T_S102_F_filt.fastq	N-BR8-B_S103_F_filt.fastq	N-BR8-T_S104_F_filt.fastq	N-BR9-B_S105_F_filt.fastq	N-BR9-T_S106_F_filt.fastq	N-Control-A-T4_S122_F_filt.fastq	N-Control-B-T4_S123_F_filt.fastq	N-Control-T0_S121_F_filt.fastq	N-NEG_S128_F_filt.fastq
ASV_1	9990	3000	4504	0	0	240	0	0	0	169	0	237	19	130	56	0	0	0
ASV_2	0	6808	9474	45	0	0	0	0	0	0	0	0	0	0	199	361	0	0
ASV_3	2662	46	45	3323	80	66	0	31	19	17	33	0	56	0	2261	2680	4042	0
ASV_4	1757	0	0	215	1745	1241	1854	1060	619	1622	1052	962	1749	567	170	50	351	0
ASV_5	0	5805	8308	0	0	0	0	0	0	0	0	0	0	0	149	11	0	0
ASV_6	272	0	0	0	2366	245	2096	1457	986	1750	1338	607	2090	313	0	0	0	0
ASV_7	0	6642	3517	111	0	0	0	0	0	0	0	0	0	0	997	1627	106	0
ASV_8	773	559	695	3435	37	0	27	0	0	0	38	0	54	0	1380	1978	2298	0
ASV_9	0	4821	6034	0	0	0	0	0	0	0	0	0	0	0	187	220	0	0
ASV_10	2188	0	0	2729	0	0	0	0	0	0	0	0	0	0	2316	1288	2622	0
ASV_11	720	380	403	3178	0	0	0	39	0	0	0	0	0	0	1774	2795	1341	0
ASV_12	23	2741	1249	135	0	0	0	0	0	0	0	0	0	0	2680	3626	150	0
ASV_13	547	504	544	2938	0	0	0	0	0	0	0	0	0	0	1866	2673	1330	0
ASV_14	747	243	412	7723	0	0	35	0	0	0	0	0	0	0	0	332	46	0
ASV_15	324	650	449	1508	0	0	0	0	0	0	0	0	0	0	2145	3085	512	0
ASV_16	2452	201	180	1455	0	0	0	0	0	0	0	0	216	66	1115	816	1756	0
ASV_17	3967	120	123	700	88	0	47	0	0	0	101	0	241	0	790	289	1318	0
ASV_18	0	2984	4167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	2603	0	175	945	0	135	0	0	0	0	188	0	151	0	978	579	1201	0
ASV_20	202	0	0	0	675	1401	417	2091	203	553	381	402	623	0	0	0	0	0
ASV_21	0	0	0	0	455	295	0	105	5020	124	0	0	210	0	0	0	0	0
ASV_22	146	2452	2855	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
ASV_23	942	21	0	1282	23	68	19	0	0	0	15	0	19	0	676	831	1572	0
ASV_24	442	200	177	1016	0	0	0	0	0	0	0	0	0	0	1190	1790	537	0
ASV_25	747	14	15	1685	30	0	10	0	0	0	10	0	0	0	596	889	1291	0
ASV_26	0	0	0	0	379	161	0	0	4369	144	0	0	154	0	0	0	0	0
ASV_27	127	414	264	765	0	0	0	0	0	0	0	0	0	0	1497	1866	212	0
ASV_28	662	135	168	1395	22	0	0	0	0	0	0	0	0	11	729	1029	899	0
ASV_29	1112	32	0	1301	35	0	23	8	0	0	0	0	0	0	596	667	1160	0
ASV_30	168	32	22	1285	0	0	0	0	0	0	0	0	22	0	822	850	1700	0
ASV_31	257	0	0	0	334	89	385	747	25	676	366	1016	399	247	0	0	0	0
ASV_32	397	97	68	927	23	0	0	10	0	0	0	0	24	15	978	1191	738	0
ASV_33	0	0	0	0	0	4435	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	252	230	169	1057	0	0	0	0	0	0	0	0	0	0	572	746	1282	0
ASV_35	230	290	268	502	0	0	0	0	0	0	0	0	0	0	1206	1577	125	0
ASV_36	34	1670	1157	0	0	0	0	0	0	0	0	0	0	0	729	571	22	0
ASV_37	53	0	0	0	0	1599	0	1922	161	84	42	203	0	57	0	0	0	0
ASV_38	0	0	0	0	317	322	0	231	2947	92	0	177	0	0	0	0	0	0
ASV_39	499	59	34	757	0	0	0	0	0	0	0	0	21	0	767	608	1263	0
ASV_40	0	0	0	0	0	0	43	2319	129	437	171	717	0	0	0	0	0	0
ASV_41	630	34	41	1673	62	0	0	0	0	0	49	0	66	0	283	488	447	0
ASV_42	0	0	0	0	172	676	632	936	0	408	154	555	183	0	0	0	0	0
ASV_43	292	105	75	1047	0	0	0	0	0	0	0	0	0	0	534	599	1013	0
ASV_44	349	43	28	1201	0	0	0	0	0	0	0	0	0	0	385	489	994	0
ASV_45	172	0	0	1357	23	0	0	0	0	0	0	0	0	0	571	760	593	0
ASV_46	1204	0	0	0	138	178	470	17	0	228	80	419	160	535	0	0	0	0
ASV_47	291	0	0	1144	28	0	0	0	0	0	0	0	0	0	415	583	818	0
ASV_48	1921	508	629	0	0	0	0	0	0	0	0	22	0	0	0	192	0	0
ASV_49	0	611	508	29	0	0	0	0	0	0	0	0	0	0	1171	840	49	0
ASV_50	0	0	0	0	290	459	106	692	660	371	293	195	103	0	0	0	0	0
ASV_51	0	1631	750	0	0	0	0	0	0	0	0	0	0	0	344	360	0	0
ASV_52	0	1828	942	123	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV_53	0	783	367	133	0	0	0	0	0	0	0	0	0	0	708	833	79	0
ASV_54	0	0	0	0	226	126	290	853	0	104	543	191	468	0	0	0	0	0
ASV_55	0	0	0	0	151	1277	234	259	476	140	100	0	58	0	0	0	0	0
ASV_56	25	0	0	0	219	221	107	377	73	547	205	670	0	161	0	0	0	0
ASV_57	0	0	0	0	433	328	392	0	615	0	352	0	461	0	0	0	0	0
ASV_58	0	0	0	0	511	22	154	882	232	103	172	0	471	0	0	0	0	0
ASV_59	94	775	886	155	0	0	0	0	0	0	0	0	0	0	168	216	220	0
ASV_60	0	0	0	0	17	0	62	1470	54	113	49	714	21	0	0	0	0	0
ASV_61	188	0	0	0	74	292	245	1138	0	256	71	0	141	71	0	0	0	0
ASV_62	0	0	0	0	0	0	417	727	296	156	115	349	98	316	0	0	0	0
ASV_63	0	0	0	0	331	153	398	173	475	152	236	216	302	0	0	0	0	0
ASV_64	0	1119	1165	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	74	143	122	277	0	0	0	0	0	0	0	0	0	0	758	891	56	0
ASV_66	226	75	0	549	0	0	0	0	0	0	0	0	0	0	391	460	601	0
ASV_67	63	0	0	0	137	477	256	485	0	236	0	188	198	222	0	0	0	0
ASV_68	0	1055	678	0	0	0	0	0	0	0	0	0	0	0	160	369	0	0
ASV_69	162	71	60	527	0	0	0	0	0	0	0	0	0	0	526	613	302	0
ASV_70	0	0	0	0	0	1769	0	74	0	0	0	121	0	297	0	0	0	0
ASV_71	74	0	0	0	274	309	290	247	0	285	151	298	313	0	0	0	0	0
ASV_72	0	0	0	0	36	0	451	565	0	242	87	553	124	181	0	0	0	0
ASV_73	58	0	0	0	171	0	281	592	107	368	144	203	279	16	0	0	0	0
ASV_74	0	0	0	0	88	0	152	1390	0	28	82	213	158	94	0	0	0	0
ASV_75	41	69	31	589	0	0	0	0	0	0	0	0	0	0	256	181	1026	0
ASV_76	0	0	0	0	180	250	146	577	603	236	0	0	198	0	0	0	0	0
ASV_77	0	0	0	0	129	0	427	578	43	418	249	224	113	0	0	0	0	0
ASV_78	0	0	0	0	99	0	269	427	323	358	217	239	231	0	0	0	0	0
ASV_79	0	0	0	0	48	823	82	182	436	204	0	174	37	41	0	0	0	0
ASV_80	144	0	0	0	268	139	85	294	0	312	211	156	416	0	0	0	0	0
ASV_81	50	0	0	0	0	1281	168	260	65	73	6	118	0	0	0	0	0	0
ASV_82	90	0	0	0	221	132	188	258	0	129	328	259	407	0	0	0	0	0
ASV_83	266	0	0	0	105	369	108	0	0	501	85	259	77	201	0	0	0	0
ASV_84	36	0	0	0	275	291	50	91	200	289	225	0	492	0	0	0	0	0
ASV_85	0	0	0	0	213	105	199	0	29	310	227	516	339	0	0	0	0	0
ASV_86	0	0	0	0	234	79	233	345	538	180	0	171	135	0	0	0	0	0
ASV_87	0	158	115	255	0	0	0	0	0	0	0	0	0	0	615	685	85	0
ASV_88	86	0	0	487	0	0	0	0	0	0	0	0	0	0	406	599	316	0
ASV_89	0	434	270	88	0	0	0	0	0	0	0	0	0	0	468	580	50	0
ASV_90	0	0	0	0	0	926	108	187	136	407	0	94	0	0	0	0	0	0
ASV_91	0	0	0	0	360	142	41	6	123	299	292	35	532	0	0	0	0	0
ASV_92	0	0	0	0	114	600	65	588	36	183	72	64	78	0	0	0	0	0
ASV_93	0	612	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
