exp,ymd,water,type,trt,bottle,bioreactor,beads,bioreactor_n,flowrate,hours_elapsed,mean_doc,sd_doc,se_doc,mean_tdn,se_tdn,mean_din,se_din,mean_don,se_don,mean_no3,se_no3,mean_no2,se_no2,mean_nh4,se_nh4,mean_ba,sd_ba,dna_type,dna_location,dna_id,trt_lab,exp_lab,max_columns,endpoint_type,influent_doc,influent_analytical_sd,start_ymd,method,configuration,unit_id,initial_doc,final_doc,doc_removal,pct_removal,duration_h
BR15-11,20150923,goletapier,bioreactor,0m,NA,1,homogenous,1,0.067,4,79.98816635160681,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient,15-11,3,Single column,85.01207939508504,NA,20150923,Bioreactor,Single column,BR15-11__Ambient__20150923__Single column__1,85.01207939508504,79.98816635160681,5.023913043478231,5.909646110560481,4
BR15-11,20150923,goletapier,bioreactor,0m,NA,1_2_3,homogenous,3,0.067,4,65.77947069943289,1.0288916062482536,0.7275362318840592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient,15-11,3,3-column series,85.01207939508504,NA,20150923,Bioreactor,3-column series,BR15-11__Ambient__20150923__3-column series__1_2_3,85.01207939508504,65.77947069943289,19.232608695652146,22.623383444452106,4
BR16-1,20160121,goletapier,bioreactor,0m,NA,1,homogenous,1,0.067,7,66.7568612391193,1.0593929553260866,0.7491039426523329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient,16-1,1,Single column,72.08661034306196,NA,20160121,Bioreactor,Single column,BR16-1__Ambient__20160121__Single column__1,72.08661034306196,66.7568612391193,5.32974910394266,7.393535468762164,7
BR16-1,20160122,goletapier,bioreactor,0m,NA,1,homogenous,1,0.067,7,78.9993940945554,0.7741797202181047,0.4469728698690719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient,16-1,1,Single column,84.82137736815156,NA,20160122,Bioreactor,Single column,BR16-1__Ambient__20160122__Single column__1,84.82137736815156,78.9993940945554,5.82198327359616,6.863816002806598,7
BR16-1,20160123,goletapier,bioreactor,0m,NA,1,homogenous,1,0.067,7,72.96713603003926,0.4741805893559593,0.2737682909091585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient,16-1,1,Single column,78.88230926779315,NA,20160123,Bioreactor,Single column,BR16-1__Ambient__20160123__Single column__1,78.88230926779315,72.96713603003926,5.915173237753891,7.498732342726934,7
BR16-1,20160124,goletapier,bioreactor,0m,NA,1,homogenous,1,0.067,7,74.64455538487796,0.7499723433991017,0.43299673434624586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient,16-1,1,Single column,78.04718381976447,NA,20160124,Bioreactor,Single column,BR16-1__Ambient__20160124__Single column__1,78.04718381976447,74.64455538487796,3.402628434886509,4.359706870070097,7
BR16-3,20161011,goletapier,bioreactor,0m,NA,5,mixed,1,0.067,7,66.56988636363637,0.4660476512365863,0.32954545454545325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambient,16-3,5,Single column,77.27253787878789,NA,20161011,Bioreactor,Single column,BR16-3__Ambient__20161011__Single column__5,77.27253787878789,66.56988636363637,10.702651515151516,13.850524143441527,7
BR16-3,20161011,goletapier,bioreactor,0m,NA,5_6_8_9_10,mixed,5,0.067,7,60.043371212121215,0.8678128678198583,0.6136363636363669,17.51495989076634,0,11.627075995735073,0,5.887883895031269,0,10.921488,0,0.013511999999999996,0,0.6920759957350713,0,NA,NA,NA,NA,NA,Ambient,16-3,5,5-column series,77.27253787878789,NA,20161011,Bioreactor,5-column series,BR16-3__Ambient__20161011__5-column series__5_6_8_9_10,77.27253787878789,60.043371212121215,17.22916666666667,22.296623276037447,7
BR16-3,20161011,goletapier,bioreactor,DiatomLysate,NA,5,mixed,1,0.067,7,68.06103437691837,0.6172534333009658,0.4364640883977912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom lysate,16-3,5,Single column,87.3409607120933,NA,20161011,Bioreactor,Single column,BR16-3__Diatom lysate__20161011__Single column__5,87.3409607120933,68.06103437691837,19.279926335174935,22.074323636911195,7
BR16-3,20161011,goletapier,bioreactor,DiatomLysate,NA,5_6_8_9_10,mixed,5,0.067,7,57.87503069367711,0.7240356728171637,0.5119705340699808,11.988078170336234,0,7.58067309422929,0,4.407405076106944,0,6.896256,0,0.05874399999999999,0,0.6256730942292904,0,NA,NA,water,outflow,N-Amend-BR5-10-FT,Diatom lysate,16-3,5,5-column series,87.3409607120933,NA,20161011,Bioreactor,5-column series,BR16-3__Diatom lysate__20161011__5-column series__5_6_8_9_10,87.3409607120933,57.87503069367711,29.465930018416195,33.73666808583239,7
