exp,exp_lab,trt_lab,start_ymd,method,configuration,duration_h,n_independent,mean_initial_doc,sd_initial_doc,mean_final_doc,sd_final_doc,mean_doc_removal,sd_doc_removal,mean_pct_removal,sd_pct_removal,bioreactor_n,beads,flowrate
BR15-11,15-11,Ambient,20150923,Batch culture,Final measured endpoint,396,2,82.82589383331515,0.4069025373753127,84.01407079746467,0.8764612117896745,-1.1881769641495126,1.2833637491649872,-1.4383711486068071,1.5565380078602662,NA,NA,NA
BR15-11,15-11,Ambient,20150923,Bioreactor,3-column series,4,1,85.01207939508504,NA,65.77947069943289,NA,19.232608695652146,NA,22.623383444452106,NA,3,homogenous,0.067
BR15-11,15-11,Ambient,20150923,Bioreactor,Single column,4,1,85.01207939508504,NA,79.98816635160681,NA,5.023913043478231,NA,5.909646110560481,NA,1,homogenous,0.067
BR16-1,16-1,Ambient,20160121,Batch culture,Final measured endpoint,288,2,70.08965517241379,0.09753196981882617,68.4344827586207,0.1137872981219622,1.655172413793096,0.21131926794078837,2.3612999427188495,0.29821268927513483,NA,NA,NA
BR16-1,16-1,Ambient,20160121,Bioreactor,Single column,7,1,72.08661034306196,NA,66.7568612391193,NA,5.32974910394266,NA,7.393535468762164,NA,1,homogenous,0.067
BR16-1,16-1,Ambient,20160122,Batch culture,Final measured endpoint,288,2,83.75257115489876,0.9577097591932764,79.85123015873016,0.11649651950583159,3.9013409961685923,1.074206278699108,4.651145459258162,1.2294091877098055,NA,NA,NA
BR16-1,16-1,Ambient,20160122,Bioreactor,Single column,7,1,84.82137736815156,NA,78.9993940945554,NA,5.82198327359616,NA,6.863816002806598,NA,1,homogenous,0.067
BR16-1,16-1,Ambient,20160123,Batch culture,Final measured endpoint,288,2,78.92901960784313,0.7514742654962714,72.9488725490196,0.8821503716273366,5.980147058823533,0.13067610613106517,7.577745482313363,0.23770840467504367,NA,NA,NA
BR16-1,16-1,Ambient,20160123,Bioreactor,Single column,7,1,78.88230926779315,NA,72.96713603003926,NA,5.915173237753891,NA,7.498732342726934,NA,1,homogenous,0.067
BR16-1,16-1,Ambient,20160124,Batch culture,Final measured endpoint,288,2,76.61096938775509,0.030865772194643867,73.32128684807256,1.1476455297829387,3.2896825396825378,1.1785113019775826,4.293700272815251,1.5365763253490528,NA,NA,NA
BR16-1,16-1,Ambient,20160124,Bioreactor,Single column,7,1,78.04718381976447,NA,74.64455538487796,NA,3.402628434886509,NA,4.359706870070097,NA,1,homogenous,0.067
BR16-3,16-3,Ambient,20161011,Batch culture,Final measured endpoint,1680,2,73.65660841353164,0.6056538676097756,67.84176029962546,1.1798354719798045,5.814848113906166,1.7854893395895801,7.884837262575086,2.359237759085868,NA,NA,NA
BR16-3,16-3,Ambient,20161011,Bioreactor,5-column series,7,1,77.27253787878789,NA,60.043371212121215,NA,17.22916666666667,NA,22.296623276037447,NA,5,mixed,0.067
BR16-3,16-3,Ambient,20161011,Bioreactor,Single column,7,1,77.27253787878789,NA,66.56988636363637,NA,10.702651515151516,NA,13.850524143441527,NA,1,mixed,0.067
BR16-3,16-3,Diatom lysate,20161011,Batch culture,Final measured endpoint,1680,2,89.00216018006957,1.416346660595111,71.84644194756555,0.14565870024441163,17.155718232504015,1.5620053608395226,19.264094943171564,1.4484580967583358,NA,NA,NA
BR16-3,16-3,Diatom lysate,20161011,Bioreactor,5-column series,7,1,87.3409607120933,NA,57.87503069367711,NA,29.465930018416195,NA,33.73666808583239,NA,5,mixed,0.067
BR16-3,16-3,Diatom lysate,20161011,Bioreactor,Single column,7,1,87.3409607120933,NA,68.06103437691837,NA,19.279926335174935,NA,22.074323636911195,NA,1,mixed,0.067
