ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_241,88.64114233297607,-11.980444793481093,2.859916342022641,-4.189089246228814,2.800762436297666e-5,0.0045486157061582705,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_321,67.62745610604435,-11.902972743548355,2.8053673673651316,-4.2429283529906865,2.2062188745770976e-5,0.0045486157061582705,Bacteria,Chloroflexota,Anaerolineae_2,Aggregatilineales,A4b_2,Incertae Sedis_415,NA,Enriched at bottom,TRUE
ASV_323,62.71688422997006,-11.801426196562822,2.83410623670142,-4.164073330680204,3.1261963616208045e-5,0.0045486157061582705,Bacteria,Pseudomonadota,Alphaproteobacteria_2,Kiloniellales_2,Kiloniellaceae_2,Incertae Sedis_791,NA,Enriched at bottom,TRUE
ASV_57,278.806005053706,-10.737780040737773,2.4508974221904745,-4.381162566624656,1.1804775121640856e-5,0.0045486157061582705,Archaea,Thermoproteota,Nitrososphaeria_2,Nitrosopumilales_2,Nitrosopumilaceae_2,Candidatus Nitrosopumilus_2,NA,Enriched at bottom,TRUE
ASV_406,52.65487060590496,-11.445047352719993,2.8298466589164324,-4.044405486303763,5.2456064103754356e-5,0.0059415554246876594,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_327,50.23391002399674,-11.253936133045654,2.8402193845651773,-3.9623474842132915,7.421641704857682e-5,0.0059415554246876594,Bacteria,Elusimicrobiota,Lineage IIb,Incertae Sedis_85,Incertae sedis (Elusimicrobiota),Incertae Sedis_549,NA,Enriched at bottom,TRUE
ASV_372,55.78654261584088,-11.146339282215445,2.8525021176387657,-3.9075656467670297,9.323071515813352e-5,0.0059415554246876594,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_449,46.07147330290164,-11.14551060106361,2.837076390479845,-3.9285197390044644,8.54703363786708e-5,0.0059415554246876594,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group,NA,Enriched at bottom,TRUE
ASV_320,50.539009220352085,-11.059296317957664,2.8407017709180242,-3.8931564133828984,9.894830868120613e-5,0.0059415554246876594,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA,Enriched at bottom,TRUE
ASV_592,34.95302907640089,-10.937360614429045,2.814863878576136,-3.8855735432441487,1.0208858118020034e-4,0.0059415554246876594,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_140,113.6577918307389,11.526805106638276,3.021775177957486,3.8145806447551838,1.3641438492290842e-4,0.007217561093193881,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Enriched at top,TRUE
ASV_606,32.95711755051315,-10.716020238698807,2.8367827789117315,-3.777525836084555,1.583940779261338e-4,0.007682112779417489,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_172,104.98262638232741,-11.448627124254305,3.046844560229379,-3.757535672706718,1.7159491087079997e-4,0.0076821721636004285,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,NA,Enriched at bottom,TRUE
ASV_624,32.800453057193764,-10.547182725288767,2.8408943152615254,-3.7126276287816857,2.0511856566390253e-4,0.008522300349764667,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_663,29.2708094611746,-10.359289966358464,2.8454257731586923,-3.640681849471923,2.719169738931224e-4,0.008522300349764667,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_747,24.816874365361652,-10.29842664398944,2.8217795409324684,-3.649621274306314,2.6262722860216175e-4,0.008522300349764667,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Enriched at bottom,TRUE
ASV_124,163.6441665453269,-9.969040610442088,2.742681639295469,-3.634778629649084,2.782194272259943e-4,0.008522300349764667,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales_2,DEV007_2,Incertae Sedis_1063,NA,Enriched at bottom,TRUE
ASV_242,76.06818213600411,-8.99912270450733,2.4504803069509475,-3.6723913589432775,2.4029131584958933e-4,0.008522300349764667,Bacteria,Pseudomonadota,Gammaproteobacteria_2,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_131,152.94409555172493,-8.75077744613085,2.4047263229879285,-3.6389909997150136,2.737083641600468e-4,0.008522300349764667,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Incertae sedis (Dadabacteria),CSP1-2,NA,Enriched at bottom,TRUE
ASV_573,37.95712401472818,-10.828220896248432,3.022625693578506,-3.582388953833325,3.4046635913894736e-4,0.009205310921505753,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA,Enriched at bottom,TRUE
ASV_652,28.139982878318577,-10.66678170208598,3.022780803111691,-3.5287976194322304,4.1745224517845996e-4,0.009205310921505753,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA,Enriched at bottom,TRUE
ASV_470,35.128613914030396,-10.656786717086076,3.022090701534393,-3.5262961206542713,4.214154916809537e-4,0.009205310921505753,Bacteria,Rhodothermota,Rhodothermia_2,Rhodothermales_2,Rhodothermaceae_2,Incertae Sedis_977,NA,Enriched at bottom,TRUE
