exp,date,bioreactor,beads,flow_rate_ml_min,effluent_mean,effluent_sd,effluent_se,effluent_n_vials,influent_mean,influent_sd,influent_se,influent_n_vials,conditioning_start,days_conditioning,months_conditioning,doc_removal,propagated_se_delta,z_value,p_value,exceeds_detection_limit
BR14-1,2014-09-19,1,homogenous,4,58.692051820728295,1.1368512205954209,0.6563613582393208,3,60.26908263305322,0.8690392111313071,0.3547837722904203,6,2014-09-19,0,0,1.577030812324928,0.7461110893629627,2.113667568821974,0.034543670322512,TRUE
BR14-1,2014-09-19,3,homogenous,4,59.245739962651726,1.2966323722395088,0.7486110491524635,3,60.26908263305322,0.8690392111313071,0.3547837722904203,6,2014-09-19,0,0,1.0233426704014974,0.8284262356986124,1.2352852025968393,0.21672437890872642,FALSE
BR14-1,2014-09-19,5,mixed,4,58.87692577030813,0.9954821089029079,0.5747418635485503,3,60.26908263305322,0.8690392111313071,0.3547837722904203,6,2014-09-19,0,0,1.3921568627450966,0.6754255953070487,2.0611550293888725,0.039288252275897495,FALSE
BR14-1,2014-09-19,7,mixed,4,60.357784780578896,1.2982984274372613,0.7495729465693707,3,60.26908263305322,0.8690392111313071,0.3547837722904203,6,2014-09-19,0,0,-0.08870214752567307,0.8292955608884623,-0.1069608372564329,0.9148200488048345,FALSE
BR14-2,2014-09-30,1,homogenous,4,61.77938144329897,1.0886042541978425,0.7697594501718185,2,60.93814432989691,0.5226836883752496,0.21338472223254218,6,2014-09-19,11,0.3613963039014374,-0.841237113402066,0.798788239029018,-1.0531415865920204,0.2922761054815921,FALSE
BR14-2,2014-09-30,3,homogenous,4,61.30630011454753,0.5788040697400426,0.33417268547246454,3,60.93814432989691,0.5226836883752496,0.21338472223254218,6,2014-09-19,11,0.3613963039014374,-0.36815578465062515,0.396490130265733,-0.9285370720423286,0.3531290468949937,FALSE
BR14-2,2014-09-30,5,mixed,4,61.68888888888889,0.60703602486325825,0.3504724123626025,3,60.93814432989691,0.5226836883752496,0.21338472223254218,6,2014-09-19,11,0.3613963039014374,-0.7507445589919826,0.41032176582472596,-1.8296483918736897,0.06730253260776756,FALSE
BR14-2,2014-09-30,7,mixed,4,61.92142038946162,1.015417884265635,0.5862517888207246,3,60.93814432989691,0.5226836883752496,0.21338472223254218,6,2014-09-19,11,0.3613963039014374,-0.9832760595647159,0.6238783531889519,-1.5760701658243212,0.11500963371291723,FALSE
BR14-3,2014-10-14,1,homogenous,4,64.80754208754207,1.1634170071127778,0.6716991222363511,3,65.06118967452299,0.9009587640702453,0.3678148752101126,6,2014-09-19,25,0.8213552361396304,0.25364758698091805,0.765811656504989,0.3312140587393444,0.7404828016554463,FALSE
BR14-3,2014-10-14,3,homogenous,4,66.16332210998877,0.377830189761865,0.21814036176698015,3,65.06118967452299,0.9009587640702453,0.3678148752101126,6,2014-09-19,25,0.8213552361396304,-1.1021324354657764,0.42763652774015887,-2.5772644850756428,0.009958571924562934,FALSE
BR14-3,2014-10-14,5,mixed,4,65.42482603815937,1.0295600410737102,0.5944167668607888,3,65.06118967452299,0.9009587640702453,0.3678148752101126,6,2014-09-19,25,0.8213552361396304,-0.36363636363637397,0.6990129291730333,-0.5202140739607974,0.602914377054445,FALSE
BR14-3,2014-10-14,7,mixed,4,66.48543209876543,1.0508125683022735,0.6066869191771597,3,65.06118967452299,0.9009587640702453,0.3678148752101126,6,2014-09-19,25,0.8213552361396304,-1.4242424242424363,0.7094764268997978,-2.007455597173192,0.04470117403044659,FALSE
BR14-4,2014-10-16,1,homogenous,4,65.44753421900162,1.3560365176846219,0.7829080485161792,3,64.49354116344607,1.3573451020696206,0.5541338174894203,6,2014-09-19,27,0.8870636550308009,-0.9539930555555571,0.9591711526713104,-0.9946014878561223,0.31993012359685474,FALSE
BR14-4,2014-10-16,3,homogenous,4,63.828321256038656,2.1008493974072486,1.2129259651199382,3,64.49354116344607,1.3573451020696206,0.5541338174894203,6,2014-09-19,27,0.8870636550308009,0.6652199074074119,1.3335117864299257,0.49884816480575467,0.617886353332295,FALSE
BR14-4,2014-10-16,5,mixed,4,63.859571256038656,1.6487462501946373,0.95190409137526,3,64.49354116344607,1.3573451020696206,0.5541338174894203,6,2014-09-19,27,0.8870636550308009,0.6339699074074119,1.101447087636241,0.5755790854810303,0.5648997209593278,FALSE
BR14-4,2014-10-16,7,mixed,4,63.547071256038656,0.9684388189978617,0.5591284128420987,3,64.49354116344607,1.3573451020696206,0.5541338174894203,6,2014-09-19,27,0.8870636550308009,0.9464699074074119,0.787203194691639,1.2023196981284614,0.22923968792845706,FALSE
BR14-5,2014-10-24,1,homogenous,4,62.178605659629305,0.5861655661732976,0.3384228474198428,3,63.15412355040143,0.19308483040265195,0.11147757880940434,3,2014-09-19,35,1.1498973305954825,0.9755178907721245,0.3563106428847743,2.7378297849149367,0.006184607693752812,FALSE
