exp,date,water_lab,trt_lab,beads,flow_rate_ml_min,influent_doc,influent_sd,influent_n_vials,mean_effluent_doc,sd_effluent_doc,mean_removal_doc,sd_removal_doc,n_bioreactors
BR15-1,2015-03-10,UCSB intake,ambient,homogeneous,4,62.86393274853801,1.0216460966971324,6,55.74960526315789,0.19228342295423204,7.114327485380123,0.19228342295423204,2
BR15-1,2015-03-10,UCSB intake,ambient,mixed,4,62.86393274853801,1.0216460966971324,6,59.16984508547009,0.7513009550107067,3.6940876630679256,0.7513009550107067,2
BR15-1,2015-03-11,UCSB intake,diatom exudate,homogeneous,4,71.36434135166094,0.7227537506655458,6,62.63436342592593,0.42598273102730355,8.729977925735007,0.42598273102730355,2
BR15-1,2015-03-11,UCSB intake,diatom exudate,mixed,4,71.36434135166094,0.7227537506655458,6,60.04189003436426,0.2235526593441998,11.322451317296682,0.2235526593441998,2
BR15-10,2015-09-10,Goleta Pier,surface,homogeneous,4,86.29657738095239,1.0004737752401744,4,70.84270833333333,NA,15.453869047619051,NA,1
BR15-10,2015-09-10,Goleta Pier,surface,mixed,4,86.29657738095239,1.0004737752401744,4,71.25044642857142,NA,15.046130952380963,NA,1
BR15-11,2015-09-23,Goleta Pier,surface,homogeneous,4,85.01207939508504,1.2019293575307577,2,79.98816635160681,NA,5.023913043478231,NA,1
BR15-3,2015-03-19,UCSB intake,ambient,homogeneous,4,61.48623322740114,0.60274834179397,6,59.05544226694916,1.5733458794197872,2.4307909604519757,1.5733458794197872,2
BR15-4,2015-04-06,UCSB intake,ambient,homogeneous,4,59.811973299958275,0.5875905428761499,6,54.43467432950192,1.139904897257627,5.377298970456355,1.139904897257627,2
BR15-4,2015-04-06,UCSB intake,ambient,homogeneous,20,59.811973299958275,0.5875905428761499,6,60.09920734251146,0.9754061627005883,-0.28723404255319096,0.9754061627005883,2
BR15-4,2015-04-06,UCSB intake,ambient,mixed,4,59.811973299958275,0.5875905428761499,6,57.23208812260536,4.516949352234758,2.5798851773529137,4.516949352234758,2
BR15-4,2015-04-06,UCSB intake,ambient,mixed,20,59.811973299958275,0.5875905428761499,6,59.43520025031289,0.9641225438518746,0.37677304964538294,0.9641225438518746,2
BR15-5,2015-04-08,UCSB intake,ambient,homogeneous,4,61.40707780379912,0.5950014246477099,3,57.58922716627635,NA,3.817850637522767,NA,1
BR15-5,2015-04-08,UCSB intake,ambient,mixed,4,61.40707780379912,0.5950014246477099,3,57.717187093416605,NA,3.689890710382514,NA,1
BR15-6,2015-04-14,Santa Barbara Channel,200 m,homogeneous,4,48.35608345902463,0.8544994222908384,4,45.41520026814144,1.716395947495545,2.9408831908831914,1.716395947495545,2
BR15-6,2015-04-14,Santa Barbara Channel,200 m,mixed,4,48.35608345902463,0.8544994222908384,4,45.73001508295626,0.501622759303278,2.6260683760683783,0.501622759303278,2
BR15-6,2015-04-14,Santa Barbara Channel,75 m,homogeneous,4,51.48832467459918,0.8234669701556717,4,48.90594100888219,0.7806378282330171,2.582383665716989,0.7806378282330171,2
BR15-6,2015-04-14,Santa Barbara Channel,75 m,mixed,4,51.48832467459918,0.8234669701556717,4,49.580442433383595,1.4968100809732319,1.907882241215578,1.4968100809732319,2
BR15-6,2015-04-14,Santa Barbara Channel,surface,homogeneous,4,63.74946169772256,0.5130209607766298,4,54.296563146997926,0.04714045207910049,9.452898550724633,0.04714045207910049,2
BR15-6,2015-04-14,Santa Barbara Channel,surface,mixed,4,63.74946169772256,0.5130209607766298,4,56.76612836438923,5.10551591865418,6.983333333333324,5.10551591865418,2
BR15-6,2015-04-14,UCSB intake,ambient,homogeneous,4,55.95670807453416,0.41517375899438286,4,53.53786749482402,0.460131803989511,2.4188405797101424,0.460131803989511,2
BR15-6,2015-04-14,UCSB intake,ambient,mixed,4,55.95670807453416,0.41517375899438286,4,54.64438923395445,NA,1.3123188405797137,NA,1
BR15-7,2015-07-17,Goleta Pier,surface,homogeneous,4,81.7742474916388,0.6159471440537829,4,74.47207357859531,3.7453415252546423,7.302173913043486,3.7453415252546423,4
BR15-7,2015-07-17,Goleta Pier,surface,mixed,4,81.7742474916388,0.6159471440537829,4,71.64091415830546,3.485468980476311,10.133333333333336,3.485468980476311,4
BR15-7,2015-07-17,UCSB intake,ambient,homogeneous,4,61.36835511982571,0.7905846650766272,1,58.047319240196074,1.0913806043287617,3.3210358796296315,1.0913806043287617,4
BR15-7,2015-07-17,UCSB intake,ambient,mixed,4,61.36835511982571,0.7905846650766272,1,57.106347017973846,1.190332924701091,4.262008101851858,1.190332924701091,4
